Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100n","C_0603_1608Metric",168.500000,-95.250000,90.000000,bottom
"C102","100n","C_0603_1608Metric",150.759800,-95.328160,270.000000,bottom
"C103","100n","C_0603_1608Metric",157.958242,-86.069160,180.000000,bottom
"C104","10n","C_0603_1608Metric",161.750000,-102.750000,0.000000,bottom
"C105","4.7u","C_0603_1608Metric",166.500000,-95.250000,90.000000,bottom
"C106","4.7u","C_0603_1608Metric",157.958243,-87.777456,180.000000,bottom
"C107","1u","C_0603_1608Metric",158.250000,-102.750000,180.000000,bottom
"C108","4.7u","C_0603_1608Metric",149.045300,-95.328160,270.000000,bottom
"C109","4.7n","C_0603_1608Metric",69.205800,-31.828160,90.000000,bottom
"C110","1u","C_0603_1608Metric",148.072800,-53.100660,90.000000,bottom
"C111","1u","C_0603_1608Metric",154.613300,-52.846660,270.000000,bottom
"C112","10u","C_0603_1608Metric",182.250000,-48.250000,180.000000,bottom
"C113","1u","C_0603_1608Metric",183.000000,-51.250000,90.000000,bottom
"D101","SMF9.0CA","D_SOD-123",86.731800,-32.653660,90.000000,bottom
"D102","D_Schottky","D_SOD-123",151.755800,-48.973160,0.000000,bottom
"D201","D","D_SOD-123",151.959000,-44.750000,90.000000,bottom
"D208","D","D_SOD-123",151.882800,-64.750000,90.000000,bottom
"D215","D","D_SOD-123",142.611800,-72.250000,270.000000,bottom
"D222","D","D_SOD-123",180.500000,-84.000000,90.000000,bottom
"D223","D","D_SOD-123",51.556000,-86.156000,270.000000,bottom
"D224","D","D_SOD-123",75.306000,-86.156000,270.000000,bottom
"D225","D","D_SOD-123",99.056000,-86.156000,270.000000,bottom
"D226","D","D_SOD-123",141.468800,-84.000000,270.000000,bottom
"D227","D","D_SOD-123",199.888800,-86.156000,270.000000,bottom
"D228","D","D_SOD-123",217.821200,-86.156000,270.000000,bottom
"D229","D","D_SOD-123",241.571200,-86.156000,270.000000,bottom
"D230","D","D_SOD-123",265.321200,-86.000000,270.000000,bottom
"DD202","BAV70","SOT23-3_HSOL",57.006180,-44.380840,0.000000,bottom
"DD203","BAV70","SOT23-3_HSOL",95.006180,-44.380840,0.000000,bottom
"DD204","BAV70","SOT23-3_HSOL",133.006180,-44.380840,0.000000,bottom
"DD205","BAV70","SOT23-3_HSOL",190.006180,-44.380840,0.000000,bottom
"DD206","BAV70","SOT23-3_HSOL",228.006180,-44.380840,0.000000,bottom
"DD207","BAV70","SOT23-3_HSOL",266.006180,-44.380840,0.000000,bottom
"DD209","BAV70","SOT23-3_HSOL",52.187800,-64.975160,0.000000,bottom
"DD210","BAV70","SOT23-3_HSOL",90.187800,-64.975160,0.000000,bottom
"DD211","BAV70","SOT23-3_HSOL",128.187800,-64.975160,0.000000,bottom
"DD212","BAV70","SOT23-3_HSOL",194.687800,-64.975160,0.000000,bottom
"DD213","BAV70","SOT23-3_HSOL",232.687800,-64.975160,0.000000,bottom
"DD214","BAV70","SOT23-3_HSOL",270.687800,-64.975160,0.000000,bottom
"DD216","BAV70","SOT23-3_HSOL",47.615800,-71.833160,180.000000,bottom
"DD217","BAV70","SOT23-3_HSOL",85.615800,-71.833160,180.000000,bottom
"DD218","BAV70","SOT23-3_HSOL",123.615800,-71.833160,180.000000,bottom
"DD219","BAV70","SOT23-3_HSOL",199.615800,-71.833160,180.000000,bottom
"DD220","BAV70","SOT23-3_HSOL",237.615800,-71.833160,180.000000,bottom
"DD221","BAV70","SOT23-3_HSOL",275.615800,-71.833160,180.000000,bottom
"F101","ASMD1206-150","Fuse_1206_3216Metric",84.001300,-32.653660,90.000000,bottom
"J101","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",75.897200,-27.179600,0.000000,bottom
"Q101","2N7002","SOT-23",180.000000,-51.250000,0.000000,bottom
"R101","5.1k","R_0603_1608Metric",72.063300,-33.415660,0.000000,bottom
"R102","5.1k","R_0603_1608Metric",79.746800,-33.415660,180.000000,bottom
"R103","1M","R_1206_3216Metric",65.649800,-31.891660,0.000000,bottom
"R104","10k","R_0603_1608Metric",174.250000,-55.500000,0.000000,bottom
"R105","10k","R_0603_1608Metric",177.000000,-51.250000,90.000000,bottom
"R106","100k","R_0603_1608Metric",180.000000,-54.250000,0.000000,bottom
"SW101","TS-1187A-B-A-B","SW_SPST_TL3342",171.488800,-51.072660,0.000000,bottom
"U101","STM32F072C8Tx","LQFP-48_7x7mm_P0.5mm",158.695840,-95.316149,135.000000,bottom
"U102","XC6206PxxxMR","SOT-23",151.565300,-52.846660,270.000000,bottom
"U103","SRV05-4","SOT-23-6",75.873300,-36.400160,0.000000,bottom
