Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,122.750000,-64.000000,90.000000,top
C2,100n,C_0603_1608Metric,140.490200,-64.078160,270.000000,top
C3,100n,C_0603_1608Metric,133.291758,-54.819160,0.000000,top
C4,10n,C_0603_1608Metric,129.500000,-71.500000,180.000000,top
C5,4.7u,C_0603_1608Metric,124.750000,-64.000000,90.000000,top
C6,4.7u,C_0603_1608Metric,133.291757,-56.527456,0.000000,top
C7,1u,C_0603_1608Metric,133.000000,-71.500000,0.000000,top
C8,4.7u,C_0603_1608Metric,142.204700,-64.078160,270.000000,top
C9,4.7n,C_0603_1608Metric,222.044200,-0.578160,90.000000,top
C10,1u,C_0603_1608Metric,143.177200,-21.850660,90.000000,top
C11,1u,C_0603_1608Metric,136.636700,-21.596660,270.000000,top
C12,10u,C_0603_1608Metric,109.000000,-17.000000,0.000000,top
C13,1u,C_0603_1608Metric,108.250000,-20.000000,90.000000,top
D1,SMF9.0CA,D_SOD-123,204.518200,-1.403660,90.000000,top
D2,D_Schottky,D_SOD-123,139.494200,-17.723160,180.000000,top
D3,D,D_SOD-123,139.291000,-13.500000,90.000000,top
D4,D,D_SOD-123,139.367200,-33.500000,90.000000,top
D5,D,D_SOD-123,148.638200,-41.000000,270.000000,top
D6,D,D_SOD-123,110.750000,-52.750000,90.000000,top
D7,D,D_SOD-123,239.694000,-54.906000,270.000000,top
D8,D,D_SOD-123,215.944000,-54.906000,270.000000,top
D9,D,D_SOD-123,192.194000,-54.906000,270.000000,top
D10,D,D_SOD-123,149.781200,-52.750000,270.000000,top
D11,D,D_SOD-123,91.361200,-54.906000,270.000000,top
D12,D,D_SOD-123,73.428800,-54.906000,270.000000,top
D13,D,D_SOD-123,49.678800,-54.906000,270.000000,top
D14,D,D_SOD-123,25.928800,-54.750000,270.000000,top
DD1,BAV70,SOT23-3_HSOL,234.243820,-13.130840,90.000000,top
DD2,BAV70,SOT23-3_HSOL,196.243820,-13.130840,90.000000,top
DD3,BAV70,SOT23-3_HSOL,158.243820,-13.130840,90.000000,top
DD4,BAV70,SOT23-3_HSOL,101.243820,-13.130840,90.000000,top
DD5,BAV70,SOT23-3_HSOL,63.243820,-13.130840,90.000000,top
DD6,BAV70,SOT23-3_HSOL,25.243820,-13.130840,90.000000,top
DD7,BAV70,SOT23-3_HSOL,239.062200,-33.725160,90.000000,top
DD8,BAV70,SOT23-3_HSOL,201.062200,-33.725160,90.000000,top
DD9,BAV70,SOT23-3_HSOL,163.062200,-33.725160,90.000000,top
DD10,BAV70,SOT23-3_HSOL,96.562200,-33.725160,90.000000,top
DD11,BAV70,SOT23-3_HSOL,58.562200,-33.725160,90.000000,top
DD12,BAV70,SOT23-3_HSOL,20.562200,-33.725160,90.000000,top
DD13,BAV70,SOT23-3_HSOL,243.634200,-40.583160,-90.000000,top
DD14,BAV70,SOT23-3_HSOL,205.634200,-40.583160,-90.000000,top
DD15,BAV70,SOT23-3_HSOL,167.634200,-40.583160,-90.000000,top
DD16,BAV70,SOT23-3_HSOL,91.634200,-40.583160,-90.000000,top
DD17,BAV70,SOT23-3_HSOL,53.634200,-40.583160,-90.000000,top
DD18,BAV70,SOT23-3_HSOL,15.634200,-40.583160,-90.000000,top
F1,ASMD1206-150,Fuse_1206_3216Metric,207.248700,-1.403660,90.000000,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,215.352800,4.070400,180.000000,top
Q1,2N7002,SOT-23,111.250000,-20.000000,0.000000,top
R1,5.1k,R_0603_1608Metric,219.186700,-2.165660,180.000000,top
R2,5.1k,R_0603_1608Metric,211.503200,-2.165660,0.000000,top
R3,1M,R_1206_3216Metric,225.600200,-0.641660,180.000000,top
R4,10k,R_0603_1608Metric,117.000000,-24.250000,180.000000,top
R5,10k,R_0603_1608Metric,114.250000,-20.000000,90.000000,top
R6,100k,R_0603_1608Metric,111.250000,-23.000000,180.000000,top
SW1,TS-1187A-B-A-B,SW_SPST_TL3342,119.761200,-19.822660,180.000000,top
U1,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,132.534322,-64.147658,315.000000,top
U2,XC6206PxxxMR,SOT-23,139.684700,-21.596660,90.000000,top
U3,SRV05-4,SOT-23-6,215.376700,-5.150160,0.000000,top
